 2015-11-25 11:08:20,742 [P5604/D2/T1] INFO  Umbraco.Core.CoreBootManager - Umbraco 7.3.0 application starting on VM-DEV-ZY01
 2015-11-25 11:08:21,487 [P5604/D2/T1] INFO  Umbraco.Core.PluginManager - Determining hash of code files on disk
 2015-11-25 11:08:21,570 [P5604/D2/T1] INFO  Umbraco.Core.PluginManager - Hash determined (took 83ms)
 2015-11-25 11:08:21,910 [P5604/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of umbraco.interfaces.IApplicationStartupHandler
 2015-11-25 11:08:22,080 [P5604/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of umbraco.interfaces.IApplicationStartupHandler, found 0 (took 171ms)
 2015-11-25 11:08:22,366 [P5604/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter
 2015-11-25 11:08:22,366 [P5604/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter, found 0 (took 0ms)
 2015-11-25 11:08:22,366 [P5604/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyValueConverter
 2015-11-25 11:08:22,367 [P5604/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyValueConverter, found 0 (took 0ms)
 2015-11-25 11:08:22,470 [P5604/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.Mvc.SurfaceController
 2015-11-25 11:08:22,470 [P5604/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.Mvc.SurfaceController, found 0 (took 0ms)
 2015-11-25 11:08:22,470 [P5604/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.WebApi.UmbracoApiController
 2015-11-25 11:08:22,473 [P5604/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.WebApi.UmbracoApiController, found 0 (took 2ms)
 2015-11-25 11:08:22,836 [P5604/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Media.IThumbnailProvider
 2015-11-25 11:08:22,836 [P5604/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Media.IThumbnailProvider, found 0 (took 0ms)
 2015-11-25 11:08:22,837 [P5604/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Media.IImageUrlProvider
 2015-11-25 11:08:22,838 [P5604/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Media.IImageUrlProvider, found 0 (took 0ms)
 2015-11-25 11:08:25,881 [P5604/D2/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2015-11-25 11:08:26,620 [P5604/D2/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2015-11-25 11:08:26,703 [P5604/D2/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2015-11-25 11:08:26,762 [P5604/D2/T1] WARN  Umbraco.Core.Sync.DatabaseServerMessenger - No last synced Id found, this generally means this is a new server/install. The server will rebuild its caches and indexes and then adjust it's last synced id to the latest found in the database and will start maintaining cache updates based on that id
 2015-11-25 11:08:26,797 [P5604/D2/T1] INFO  umbraco.content - Load Xml from file...
 2015-11-25 11:08:26,869 [P5604/D2/T1] INFO  umbraco.content - Loaded Xml from file.
 2015-11-25 11:08:26,940 [P5604/D2/T1] INFO  umbraco.content - Loading content from database...
 2015-11-25 11:08:30,646 [P5604/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IParameterEditor
 2015-11-25 11:08:30,648 [P5604/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IParameterEditor, found 0 (took 1ms)
 2015-11-25 11:08:31,202 [P5604/D2/T1] INFO  Umbraco.Web.Cache.CacheRefresherEventHandler - Initializing Umbraco internal event handlers for cache refreshing
 2015-11-25 11:08:31,228 [P5604/D2/T1] INFO  Umbraco.Web.Search.ExamineEvents - Initializing Examine and binding to business logic events
 2015-11-25 11:08:31,229 [P5604/D2/T1] INFO  Umbraco.Web.Search.ExamineEvents - Adding examine event handlers for index providers: 3
 2015-11-25 11:08:31,412 [P5604/D2/T1] INFO  Umbraco.Core.CoreBootManager - Umbraco application startup complete (took 11081ms)
 2015-11-25 11:08:33,584 [P5604/D2/T5] INFO  umbraco.content - Save Xml to file...
 2015-11-25 11:08:33,662 [P5604/D2/T13] INFO  umbraco.content - Saved Xml to file.
 2015-11-25 11:08:37,106 [P5604/D2/T8] INFO  Umbraco.Core.Sync.ApplicationUrlHelper - ApplicationUrl: http://localhost:9002/umbraco (UmbracoModule request)
 2015-11-25 11:08:39,199 [P5604/D2/T8] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Persistence.Mappers.BaseMapper
 2015-11-25 11:08:39,201 [P5604/D2/T8] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Persistence.Mappers.BaseMapper, found 0 (took 0ms)
 2015-11-25 11:09:41,124 [P5604/D2/T8] INFO  umbraco.BusinessLogic.Log - Log scrubbed.  Removed all items older than 2015-11-24 11:09:40
 2015-11-25 15:10:16,123 [P5604/D2/T8] INFO  umbraco.BusinessLogic.Log - Log scrubbed.  Removed all items older than 2015-11-24 15:10:16
